,LONG DESCRIPTION,DIAGNOSIS CODE,processed_description,Cluster
1490,"Bimalleolar fracture, open",8245,bimalleolar fracture open,10
1491,Posttraumatic wound infection not elsewhere classified,9583,posttraumatic wound infection not elsewhere classified,1
1492,Other symptoms involving cardiovascular system,7859,other symptoms involving cardiovascular system,1
1493,Closed fracture of unspecified part of fibula alone,82381,closed fracture of unspecified part of fibula alone,10
1494,"Chronic osteomyelitis, pelvic region and thigh",73015,chronic osteomyelitis pelvic region and thigh,3
1495,Tarsal tunnel syndrome,3555,tarsal tunnel syndrome,1
1496,"Open wound of forehead, without mention of complication",87342,open wound of forehead without mention of complication,0
1497,"Stiffness of joint, not elsewhere classified, lower leg",71956,stiffness of joint not elsewhere classified lower leg,9
1498,"Traumatic arthropathy, ankle and foot",71617,traumatic arthropathy ankle and foot,1
1499,"Hemiplegia, unspecified, affecting nondominant side",34292,hemiplegia unspecified affecting nondominant side,7
1500,Open fracture of shaft of tibia alone,82330,open fracture of shaft of tibia alone,10
1501,Adjustment disorder with mixed anxiety and depressed mood,30928,adjustment disorder with mixed anxiety and depressed mood,1
1502,"Acute myocardial infarction of anterolateral wall, episode of care unspecified",41000,acute myocardial infarction of anterolateral wall episode of care unspecified,5
1503,Other specified disorders of peritoneum,56889,other specified disorders of peritoneum,3
1504,Fitting and adjustment of automatic implantable cardiac defibrillator,V5332,fitting and adjustment of automatic implantable cardiac defibrillator,1
1505,"Open wound(s) (multiple) of unspecified site(s), without mention of complication",8798,open wounds multiple of unspecified sites without mention of complication,0
1506,History of fall,V1588,history of fall,1
1507,Other closed fracture of lower end of femur,82129,other closed fracture of lower end of femur,10
1508,"Other mechanical complication of cardiac device, implant, and graft",99609,other mechanical complication of cardiac device implant and graft,8
1509,"Staphylococcal septicemia, unspecified",03810,staphylococcal septicemia unspecified,7
1510,Unspecified late effects of cerebrovascular disease,4389,unspecified late effects of cerebrovascular disease,3
1511,"Hepatitis, unspecified",5733,hepatitis unspecified,7
1512,Other diseases of trachea and bronchus,51919,other diseases of trachea and bronchus,1
1513,Nonspecific (abnormal) findings on radiological and other examination of genitourinary organs,7935,nonspecific abnormal findings on radiological and other examination of genitourinary organs,1
1514,Alcohol-induced persisting dementia,2912,alcoholinduced persisting dementia,1
1515,Unspecified disorder of liver,5739,unspecified disorder of liver,7
1516,Unspecified disorder of calcium metabolism,27540,unspecified disorder of calcium metabolism,7
1517,Benign localized hyperplasia of prostate with urinary obstruction and other lower urinary tract symptoms (LUTS),60021,benign localized hyperplasia of prostate with urinary obstruction and other lower urinary tract symptoms luts,9
1518,"Traumatic arthropathy, lower leg",71616,traumatic arthropathy lower leg,9
1519,"Colitis, enteritis, and gastroenteritis of presumed infectious origin",0091,colitis enteritis and gastroenteritis of presumed infectious origin,1
1520,Benign neoplasm of cranial nerves,2251,benign neoplasm of cranial nerves,2
1521,Other disease of nasal cavity and sinuses,47819,other disease of nasal cavity and sinuses,3
1522,Nontraumatic rupture of other tendons of foot and ankle,72768,nontraumatic rupture of other tendons of foot and ankle,1
1523,Subclavian steal syndrome,4352,subclavian steal syndrome,1
1524,Benign neoplasm of rectum and anal canal,2114,benign neoplasm of rectum and anal canal,2
1525,"Closed fracture of vault of skull with subarachnoid, subdural, and extradural hemorrhage, with no loss of consciousness",80021,closed fracture of vault of skull with subarachnoid subdural and extradural hemorrhage with no loss of consciousness,0
1526,Malignant neoplasm of lower gum,1431,malignant neoplasm of lower gum,2
1527,"Bilateral paralysis of vocal cords or larynx, partial",47833,bilateral paralysis of vocal cords or larynx partial,1
1528,Malignant neoplasm of specified parts of peritoneum,1588,malignant neoplasm of specified parts of peritoneum,2
1529,Neoplasm of uncertain behavior of connective and other soft tissue,2381,neoplasm of uncertain behavior of connective and other soft tissue,2
1530,Neoplasm of uncertain behavior of other and unspecified digestive organs,2355,neoplasm of uncertain behavior of other and unspecified digestive organs,2
1531,Cerebral edema,3485,cerebral edema,1
1532,Transient alteration of awareness,78002,transient alteration of awareness,1
1533,Feeding difficulties and mismanagement,7833,feeding difficulties and mismanagement,1
1534,Other and unspecified mycoses,1179,other and unspecified mycoses,7
1535,"Secondary cardiomyopathy, unspecified",4259,secondary cardiomyopathy unspecified,7
1536,"Aftercare following surgery of the teeth, oral cavity and digestive system, NEC",V5875,aftercare following surgery of the teeth oral cavity and digestive system nec,1
1537,Contusion of lower leg,92410,contusion of lower leg,9
1538,Nonspecific abnormal results of other specified function study,7949,nonspecific abnormal results of other specified function study,3
1539,Traumatic pneumohemothorax with open wound into thorax,8605,traumatic pneumohemothorax with open wound into thorax,0
1540,"Unspecified osteomyelitis, forearm",73023,unspecified osteomyelitis forearm,7
1541,"Aftercare following surgery of the musculoskeletal system, NEC",V5878,aftercare following surgery of the musculoskeletal system nec,1
1542,"Toxic effect of other specified gases, fumes, or vapors",9878,toxic effect of other specified gases fumes or vapors,3
1543,"Muscular wasting and disuse atrophy, not elsewhere classified",7282,muscular wasting and disuse atrophy not elsewhere classified,1
1544,"Diabetes mellitus without mention of complication, type I [juvenile type], not stated as uncontrolled",25001,diabetes mellitus without mention of complication type i juvenile type not stated as uncontrolled,6
1545,"Calculus of gallbladder and bile duct with acute cholecystitis, with obstruction",57461,calculus of gallbladder and bile duct with acute cholecystitis with obstruction,4
1546,Contusion of thigh,92400,contusion of thigh,1
1547,Pleurisy without mention of effusion or current tuberculosis,5110,pleurisy without mention of effusion or current tuberculosis,1
1548,Chronic frontal sinusitis,4731,chronic frontal sinusitis,3
1549,Redundant prepuce and phimosis,605,redundant prepuce and phimosis,1
1550,Unspecified ectopic pregnancy without intrauterine pregnancy,63390,unspecified ectopic pregnancy without intrauterine pregnancy,7
1551,Malignant neoplasm of other specified sites of cervix,1808,malignant neoplasm of other specified sites of cervix,2
1552,Aseptic necrosis of head of humerus,73341,aseptic necrosis of head of humerus,1
1553,Encounter for breast reconstruction following mastectomy,V510,encounter for breast reconstruction following mastectomy,1
1554,Other amyloidosis,27739,other amyloidosis,1
1555,Chronic viral hepatitis B with hepatic coma without hepatitis delta,07022,chronic viral hepatitis b with hepatic coma without hepatitis delta,1
1556,"Neuralgia, neuritis, and radiculitis, unspecified",7292,neuralgia neuritis and radiculitis unspecified,7
1557,Malignant neoplasm of splenic flexure,1537,malignant neoplasm of splenic flexure,2
1558,"Localized superficial swelling, mass, or lump",7822,localized superficial swelling mass or lump,1
1559,Closed fracture of sixth cervical vertebra,80506,closed fracture of sixth cervical vertebra,10
1560,"Urinary calculus, unspecified",5929,urinary calculus unspecified,7
1561,Other acquired deformity of other parts of limb,73689,other acquired deformity of other parts of limb,1
1562,Poisoning by antineoplastic and immunosuppressive drugs,9631,poisoning by antineoplastic and immunosuppressive drugs,1
1563,Peritoneal adhesions (postoperative) (postinfection),5680,peritoneal adhesions postoperative postinfection,1
1564,Other heart block,4266,other heart block,3
1565,Multiple closed pelvic fractures with disruption of pelvic circle,80843,multiple closed pelvic fractures with disruption of pelvic circle,1
1566,Stress fracture of shaft of femur,73397,stress fracture of shaft of femur,10
1567,Dysthymic disorder,3004,dysthymic disorder,1
1568,"Transient arthropathy, pelvic region and thigh",71645,transient arthropathy pelvic region and thigh,1
1569,Hemorrhage into bladder wall,5967,hemorrhage into bladder wall,1
1570,Varicose veins of lower extremities with ulcer and inflammation,4542,varicose veins of lower extremities with ulcer and inflammation,9
1571,Traumatic pneumothorax without mention of open wound into thorax,8600,traumatic pneumothorax without mention of open wound into thorax,0
1572,Malignant neoplasm of frontal lobe,1911,malignant neoplasm of frontal lobe,2
1573,"Intracranial injury of other and unspecified nature without mention of open intracranial wound, unspecified state of consciousness",85400,intracranial injury of other and unspecified nature without mention of open intracranial wound unspecified state of consciousness,0
1574,Foreign body in esophagus,9351,foreign body in esophagus,1
1575,Myasthenia gravis without (acute) exacerbation,35800,myasthenia gravis without acute exacerbation,5
1576,Acute maxillary sinusitis,4610,acute maxillary sinusitis,5
1577,Unspecified disorder of prostate,6029,unspecified disorder of prostate,7
1578,"Quadriplegia, C1-C4, incomplete",34402,quadriplegia c1c4 incomplete,1
1579,"Open wound(s) (multiple) of unspecified site(s), complicated",8799,open wounds multiple of unspecified sites complicated,7
1580,Other acute pericarditis,42099,other acute pericarditis,5
1581,"Other closed skull fracture with subarachnoid, subdural, and extradural hemorrhage, with loss of consciousness of unspecified duration",80326,other closed skull fracture with subarachnoid subdural and extradural hemorrhage with loss of consciousness of unspecified duration,0
1582,Other premature beats,42769,other premature beats,1
1583,"Other and unspecified malignant neoplasms of lymphoid and histiocytic tissue, unspecified site, extranodal and solid organ sites",20290,other and unspecified malignant neoplasms of lymphoid and histiocytic tissue unspecified site extranodal and solid organ sites,7
1584,Neoplasm of unspecified nature of breast,2393,neoplasm of unspecified nature of breast,2
1585,Polydipsia,7835,polydipsia,1
1586,Chills (without fever),78064,chills without fever,1
1587,Hemoperitoneum (nontraumatic),56881,hemoperitoneum nontraumatic,1
1588,"Pyogenic arthritis, forearm",71103,pyogenic arthritis forearm,1
1589,Cushing's syndrome,2550,cushings syndrome,1
1590,Systemic sclerosis,7101,systemic sclerosis,1
1591,"Aseptic necrosis of bone, jaw",73345,aseptic necrosis of bone jaw,1
1592,Other prolapse of vaginal walls without mention of uterine prolapse,61809,other prolapse of vaginal walls without mention of uterine prolapse,1
1593,Occlusion and stenosis of multiple and bilateral precerebral arteries with cerebral infarction,43331,occlusion and stenosis of multiple and bilateral precerebral arteries with cerebral infarction,1
1594,Mechanical complication of tracheostomy,51902,mechanical complication of tracheostomy,1
1595,"Pyogenic arthritis, ankle and foot",71107,pyogenic arthritis ankle and foot,1
1596,"Polyarticular juvenile rheumatoid arthritis, chronic or unspecified",71430,polyarticular juvenile rheumatoid arthritis chronic or unspecified,3
1597,"Other noninflammatory disorders of ovary, fallopian tube, and broad ligament",6208,other noninflammatory disorders of ovary fallopian tube and broad ligament,1
1598,Unspecified visual loss,3699,unspecified visual loss,7
1599,Normal delivery,650,normal delivery,1
1600,Poisoning by antiallergic and antiemetic drugs,9630,poisoning by antiallergic and antiemetic drugs,1
1601,Extrinsic asthma with (acute) exacerbation,49302,extrinsic asthma with acute exacerbation,5
1602,Laryngeal spasm,47875,laryngeal spasm,1
1603,Cyst and pseudocyst of pancreas,5772,cyst and pseudocyst of pancreas,1
1604,Closed fracture of other facial bones,8028,closed fracture of other facial bones,10
1605,"Impaction of intestine, unspecified",56030,impaction of intestine unspecified,7
1606,"Fracture of lateral malleolus, closed",8242,fracture of lateral malleolus closed,10
1607,Aftercare for healing traumatic fracture of upper leg,V5415,aftercare for healing traumatic fracture of upper leg,10
1608,"Calculus of gallbladder and bile duct with other cholecystitis, with obstruction",57471,calculus of gallbladder and bile duct with other cholecystitis with obstruction,4
1609,Acquired absence of breast and nipple,V4571,acquired absence of breast and nipple,1
1610,Contact dermatitis and other eczema due to plants [except food],6926,contact dermatitis and other eczema due to plants except food,1
1611,Chronic pyelonephritis without lesion of renal medullary necrosis,59000,chronic pyelonephritis without lesion of renal medullary necrosis,1
1612,Stiff-man syndrome,33391,stiffman syndrome,1
1613,"Hyperemesis gravidarum with metabolic disturbance, antepartum condition or complication",64313,hyperemesis gravidarum with metabolic disturbance antepartum condition or complication,1
1614,"Chronic or unspecified peptic ulcer of unspecified site with perforation, without mention of obstruction",53350,chronic or unspecified peptic ulcer of unspecified site with perforation without mention of obstruction,4
1615,Injury to popliteal artery,90441,injury to popliteal artery,1
1616,Hypertensive encephalopathy,4372,hypertensive encephalopathy,1
1617,Malignant neoplasm of hard palate,1452,malignant neoplasm of hard palate,2
1618,"Postlaminectomy syndrome, thoracic region",72282,postlaminectomy syndrome thoracic region,1
1619,Unspecified complication of amputation stump,99760,unspecified complication of amputation stump,7
1620,Chronic ethmoidal sinusitis,4732,chronic ethmoidal sinusitis,3
1621,Panic disorder without agoraphobia,30001,panic disorder without agoraphobia,1
1622,Unspecified disorder of adrenal glands,2559,unspecified disorder of adrenal glands,7
1623,Drug-induced psychotic disorder with hallucinations,29212,druginduced psychotic disorder with hallucinations,1
1624,Carotid sinus syndrome,33701,carotid sinus syndrome,1
1625,Malignant neoplasm of islets of langerhans,1574,malignant neoplasm of islets of langerhans,2
1626,"Pain in joint, multiple sites",71949,pain in joint multiple sites,1
1627,Primary hyperparathyroidism,25201,primary hyperparathyroidism,1
1628,"Stress incontinence, male",78832,stress incontinence male,1
1629,Benign neoplasm of bones of skull and face,2130,benign neoplasm of bones of skull and face,2
1630,"Salpingitis and oophoritis not specified as acute, subacute, or chronic",6142,salpingitis and oophoritis not specified as acute subacute or chronic,5
1631,Iatrogenic pulmonary embolism and infarction,41511,iatrogenic pulmonary embolism and infarction,1
1632,Stricture of artery,4471,stricture of artery,1
1633,Other urinary incontinence,78839,other urinary incontinence,1
1634,Other specified disorders of parathyroid gland,2528,other specified disorders of parathyroid gland,3
1635,"Chronic osteomyelitis, other specified sites",73018,chronic osteomyelitis other specified sites,3
1636,"Neurosyphilis, unspecified",0949,neurosyphilis unspecified,7
1637,Closed fracture of malar and maxillary bones,8024,closed fracture of malar and maxillary bones,10
1638,"Dysphagia, oropharyngeal phase",78722,dysphagia oropharyngeal phase,1
1639,"Intrauterine death, affecting management of mother, antepartum condition or complication",65643,intrauterine death affecting management of mother antepartum condition or complication,1
1640,Nodular prostate without urinary obstruction,60010,nodular prostate without urinary obstruction,4
1641,Malignant neoplasm of head of pancreas,1570,malignant neoplasm of head of pancreas,2
1642,Other specified disorders of stomach and duodenum,53789,other specified disorders of stomach and duodenum,3
1643,Amyotrophic lateral sclerosis,33520,amyotrophic lateral sclerosis,1
1644,"Neoplasm of unspecified nature of bone, soft tissue, and skin",2392,neoplasm of unspecified nature of bone soft tissue and skin,2
1645,Unspecified disorders of menstruation and other abnormal bleeding from female genital tract,6269,unspecified disorders of menstruation and other abnormal bleeding from female genital tract,7
1646,"Diabetes mellitus of mother, complicating pregnancy, childbirth, or the puerperium, antepartum condition or complication",64803,diabetes mellitus of mother complicating pregnancy childbirth or the puerperium antepartum condition or complication,1
1647,Other severe protein-calorie malnutrition,262,other severe proteincalorie malnutrition,1
1648,Lipoma of intra-abdominal organs,2143,lipoma of intraabdominal organs,1
1649,"Burn of unspecified degree of lower limb [leg], unspecified site",94500,burn of unspecified degree of lower limb leg unspecified site,9
1650,Malignant neoplasm of parietal lobe,1913,malignant neoplasm of parietal lobe,2
1651,Tietze's disease,7336,tietzes disease,3
1652,"Blisters, epidermal loss [second degree] of multiple sites of lower limb(s)",94529,blisters epidermal loss second degree of multiple sites of lower limbs,9
1653,Nonspecific elevation of levels of transaminase or lactic acid dehydrogenase [LDH],7904,nonspecific elevation of levels of transaminase or lactic acid dehydrogenase ldh,1
1654,Undifferentiated somatoform disorder,30082,undifferentiated somatoform disorder,1
1655,Acute prostatitis,6010,acute prostatitis,5
1656,"Other and unspecified disc disorder, lumbar region",72293,other and unspecified disc disorder lumbar region,7
1657,"Other disorders of muscle, ligament, and fascia",72889,other disorders of muscle ligament and fascia,1
1658,"Other and unspecified disc disorder, cervical region",72291,other and unspecified disc disorder cervical region,7
1659,Neoplasm of uncertain behavior of kidney and ureter,23691,neoplasm of uncertain behavior of kidney and ureter,2
1660,Dermatophytosis of groin and perianal area,1103,dermatophytosis of groin and perianal area,1
1661,Enteritis due to norwalk virus,00863,enteritis due to norwalk virus,1
1662,Dysmenorrhea,6253,dysmenorrhea,1
1663,Unspecified disorder of biliary tract,5769,unspecified disorder of biliary tract,7
1664,Transient global amnesia,4377,transient global amnesia,1
1665,Other stomatitis and mucositis (ulcerative),52809,other stomatitis and mucositis ulcerative,1
1666,"Inguinal hernia, with obstruction, without mention of gangrene, unilateral or unspecified,recurrent",55011,inguinal hernia with obstruction without mention of gangrene unilateral or unspecifiedrecurrent,4
1667,Tachypnea,78606,tachypnea,1
1668,"Abnormal glucose tolerance of mother, delivered, with or without mention of antepartum condition",64881,abnormal glucose tolerance of mother delivered with or without mention of antepartum condition,1
1669,Acquired cardiac septal defect,42971,acquired cardiac septal defect,1
1670,Biliary cirrhosis,5716,biliary cirrhosis,1
1671,Hereditary sensory neuropathy,3562,hereditary sensory neuropathy,1
1672,"Acute osteomyelitis, shoulder region",73001,acute osteomyelitis shoulder region,5
1673,Varicose veins of lower extremities with inflammation,4541,varicose veins of lower extremities with inflammation,9
1674,Other injury of chest wall,95911,other injury of chest wall,1
1675,"Atrioventricular block, unspecified",42610,atrioventricular block unspecified,7
1676,"Ulceration of vulva, unspecified",61650,ulceration of vulva unspecified,7
1677,"Conjunctivitis, unspecified",37230,conjunctivitis unspecified,7
1678,Malignant neoplasm of connective and other soft tissue of abdomen,1715,malignant neoplasm of connective and other soft tissue of abdomen,2
1679,Carcinoma in situ of colon,2303,carcinoma in situ of colon,1
1680,Endometrial hyperplasia with atypia,62133,endometrial hyperplasia with atypia,1
1681,"Labyrinthine dysfunction, unspecified",38650,labyrinthine dysfunction unspecified,7
1682,Rupture of artery,4472,rupture of artery,1
1683,"Severe pre-eclampsia, antepartum condition or complication",64253,severe preeclampsia antepartum condition or complication,1
1684,Neuroleptic malignant syndrome,33392,neuroleptic malignant syndrome,2
1685,"Malignant neoplasm of vertebral column, excluding sacrum and coccyx",1702,malignant neoplasm of vertebral column excluding sacrum and coccyx,2
1686,Postprocedural fever,78062,postprocedural fever,1
1687,"Calculus of gallbladder and bile duct with acute cholecystitis, without mention of obstruction",57460,calculus of gallbladder and bile duct with acute cholecystitis without mention of obstruction,4
1688,Pneumonia due to other specified organism,4838,pneumonia due to other specified organism,3
1689,"Osteoarthrosis, localized, not specified whether primary or secondary, upper arm",71532,osteoarthrosis localized not specified whether primary or secondary upper arm,3
1690,"Polycystic kidney, autosomal dominant",75313,polycystic kidney autosomal dominant,1
1691,"Chronic myeloid leukemia, without mention of having achieved remission",20510,chronic myeloid leukemia without mention of having achieved remission,1
1692,Spontaneous ecchymoses,7827,spontaneous ecchymoses,1
1693,Other chronic cystitis,5952,other chronic cystitis,3
1694,Neoplasm of unspecified nature of respiratory system,2391,neoplasm of unspecified nature of respiratory system,2
1695,Displacement of thoracic intervertebral disc without myelopathy,72211,displacement of thoracic intervertebral disc without myelopathy,1
1696,Toxic effect of ethyl alcohol,9800,toxic effect of ethyl alcohol,1
1697,Functional disturbances following cardiac surgery,4294,functional disturbances following cardiac surgery,1
1698,Closed fracture of C1-C4 level with unspecified spinal cord injury,80600,closed fracture of c1c4 level with unspecified spinal cord injury,10
1699,"Pyogenic arthritis, hand",71104,pyogenic arthritis hand,1
1700,Acute tracheitis without mention of obstruction,46410,acute tracheitis without mention of obstruction,4
1701,"Other leukemia of unspecified cell type, without mention of having achieved remission",20880,other leukemia of unspecified cell type without mention of having achieved remission,7
1702,Acute and subacute necrosis of liver,570,acute and subacute necrosis of liver,5
1703,Neoplasm of uncertain behavior of brain and spinal cord,2375,neoplasm of uncertain behavior of brain and spinal cord,2
1704,Benign neoplasm of adrenal gland,2270,benign neoplasm of adrenal gland,2
1705,"Viral hepatitis B with hepatic coma, acute or unspecified, without mention of hepatitis delta",07020,viral hepatitis b with hepatic coma acute or unspecified without mention of hepatitis delta,5
1706,"Diabetes with renal manifestations, type I [juvenile type], uncontrolled",25043,diabetes with renal manifestations type i juvenile type uncontrolled,6
1707,Toxic gastroenteritis and colitis,5582,toxic gastroenteritis and colitis,1
1708,"Bipolar I disorder, most recent episode (or current) manic, mild",29641,bipolar i disorder most recent episode or current manic mild,1
1709,Peritonsillar abscess,475,peritonsillar abscess,1
1710,"Blisters, epidermal loss [second degree] of lower limb [leg], unspecified site",94520,blisters epidermal loss second degree of lower limb leg unspecified site,9
1711,"Complications affecting other specified body systems, not elsewhere classified, hypertension",99791,complications affecting other specified body systems not elsewhere classified hypertension,8
1712,Esophageal varices with bleeding,4560,esophageal varices with bleeding,1
1713,"Cardiac complications, not elsewhere classified",9971,cardiac complications not elsewhere classified,8
1714,Other closed anterior dislocation of hip,83503,other closed anterior dislocation of hip,10
1715,Unspecified nontoxic nodular goiter,2419,unspecified nontoxic nodular goiter,7
1716,Allergic purpura,2870,allergic purpura,1
1717,Neuromyelitis optica,3410,neuromyelitis optica,1
1718,Cyst of thyroid,2462,cyst of thyroid,1
1719,Inflammatory conditions of jaw,5264,inflammatory conditions of jaw,1
1720,Stress fracture of tibia or fibula,73393,stress fracture of tibia or fibula,10
1721,"Presenile dementia, uncomplicated",29010,presenile dementia uncomplicated,1
1722,Atherosclerosis of unspecified bypass graft of the extremities,44030,atherosclerosis of unspecified bypass graft of the extremities,7
1723,Incomplete bladder emptying,78821,incomplete bladder emptying,1
1724,Ulceration of intestine,56982,ulceration of intestine,1
1725,Ulcer of anus and rectum,56941,ulcer of anus and rectum,1
1726,"Mechanical complication due to graft of other tissue, not elsewhere classified",99652,mechanical complication due to graft of other tissue not elsewhere classified,8
1727,"Contracture of joint, lower leg",71846,contracture of joint lower leg,9
1728,Hallux valgus (acquired),7350,hallux valgus acquired,1
1729,Other second degree atrioventricular block,42613,other second degree atrioventricular block,1
1730,Atherosclerosis of aorta,4400,atherosclerosis of aorta,1
1731,Reflex sympathetic dystrophy of the lower limb,33722,reflex sympathetic dystrophy of the lower limb,9
1732,Occlusion and stenosis of basilar artery without mention of cerebral infarction,43300,occlusion and stenosis of basilar artery without mention of cerebral infarction,1
1733,Hypoglycemic coma,2510,hypoglycemic coma,1
1734,Sprain of lumbosacral (joint) (ligament),8460,sprain of lumbosacral joint ligament,1
1735,Macroglobulinemia,2733,macroglobulinemia,1
1736,Myoclonus,3332,myoclonus,1
1737,"Benign essential hypertension complicating pregnancy, childbirth, and the puerperium, antepartum condition or complication",64203,benign essential hypertension complicating pregnancy childbirth and the puerperium antepartum condition or complication,1
1738,Anal and rectal polyp,5690,anal and rectal polyp,1
1739,Nonspecific (abnormal) findings on radiological and other examination of other intrathoracic organs,7932,nonspecific abnormal findings on radiological and other examination of other intrathoracic organs,1
1740,"Pyogenic arthritis, pelvic region and thigh",71105,pyogenic arthritis pelvic region and thigh,1
1741,Secondary malignant neoplasm of ovary,1986,secondary malignant neoplasm of ovary,2
1742,Closed fracture of C1-C4 level with other specified spinal cord injury,80604,closed fracture of c1c4 level with other specified spinal cord injury,10
1743,Chronic pain syndrome,3384,chronic pain syndrome,3
1744,Achalasia and cardiospasm,5300,achalasia and cardiospasm,1
1745,Infective myositis,7280,infective myositis,1
1746,"Bipolar I disorder, most recent episode (or current) mixed, moderate",29662,bipolar i disorder most recent episode or current mixed moderate,1
1747,Malignant neoplasm of nasal cavities,1600,malignant neoplasm of nasal cavities,2
1748,"Acquired hemolytic anemia, unspecified",2839,acquired hemolytic anemia unspecified,7
1749,"Pain in joint, site unspecified",71940,pain in joint site unspecified,7
1750,Closed fracture of unspecified vertebral column without mention of spinal cord injury,8058,closed fracture of unspecified vertebral column without mention of spinal cord injury,10
1751,"Catatonic type schizophrenia, subchronic with acute exacerbation",29523,catatonic type schizophrenia subchronic with acute exacerbation,5
1752,Other unspecified back disorders,7249,other unspecified back disorders,7
1753,"Thyrotoxicosis without mention of goiter or other cause, and without mention of thyrotoxic crisis or storm",24290,thyrotoxicosis without mention of goiter or other cause and without mention of thyrotoxic crisis or storm,1
1754,Other acute reactions to stress,3083,other acute reactions to stress,5
1755,Aftercare for healing pathologic fracture of hip,V5423,aftercare for healing pathologic fracture of hip,10
1756,Open fracture of unspecified part of radius with ulna,81393,open fracture of unspecified part of radius with ulna,10
1757,Chronic fatigue syndrome,78071,chronic fatigue syndrome,3
1758,"Disorders of soft tissue, unspecified",72990,disorders of soft tissue unspecified,7
1759,Open fracture of intertrochanteric section of neck of femur,82031,open fracture of intertrochanteric section of neck of femur,10
1760,"Other and unspecified superficial injury of hip, thigh, leg, and ankle, without mention of infection",9168,other and unspecified superficial injury of hip thigh leg and ankle without mention of infection,7
1761,"Closed fracture of phalanx or phalanges of hand, unspecified",81600,closed fracture of phalanx or phalanges of hand unspecified,10
1762,Simple endometrial hyperplasia without atypia,62131,simple endometrial hyperplasia without atypia,1
1763,Perforation of esophagus,5304,perforation of esophagus,1
1764,"Recurrent dislocation of joint, shoulder region",71831,recurrent dislocation of joint shoulder region,1
1765,Thrombotic microangiopathy,4466,thrombotic microangiopathy,1
1766,Atherosclerosis of nonautologous biological bypass graft of the extremities,44032,atherosclerosis of nonautologous biological bypass graft of the extremities,1
1767,Malignant neoplasm of vagina,1840,malignant neoplasm of vagina,2
1768,Congenital deficiency of other clotting factors,2863,congenital deficiency of other clotting factors,1
1769,"Synovial cyst, unspecified",72740,synovial cyst unspecified,7
1770,Secondary hypercoagulable state,28982,secondary hypercoagulable state,1
1771,"Injury to spleen with open wound into cavity, unspecified injury",86510,injury to spleen with open wound into cavity unspecified injury,0
1772,Embolism and thrombosis of other specified artery,44489,embolism and thrombosis of other specified artery,3
1773,Personal history of colonic polyps,V1272,personal history of colonic polyps,1
1774,"Other and unspecified disc disorder, thoracic region",72292,other and unspecified disc disorder thoracic region,7
1775,"Blisters, epidermal loss [second degree] of thigh [any part]",94526,blisters epidermal loss second degree of thigh any part,1
1776,Transient visual loss,36812,transient visual loss,1
1777,Other bone cyst,73329,other bone cyst,1
1778,"Calculus of gallbladder and bile duct without cholecystitis, without mention of obstruction",57490,calculus of gallbladder and bile duct without cholecystitis without mention of obstruction,4
1779,"Secondary and unspecified malignant neoplasm of lymph nodes of head, face, and neck",1960,secondary and unspecified malignant neoplasm of lymph nodes of head face and neck,2
1780,"Other psychological or physical stress, not elsewhere classified",V6289,other psychological or physical stress not elsewhere classified,1
1781,"Open wound of abdominal wall, anterior, complicated",8793,open wound of abdominal wall anterior complicated,0
1782,Acute thyroiditis,2450,acute thyroiditis,5
1783,Carcinoma in situ of rectum,2304,carcinoma in situ of rectum,1
1784,"Unspecified disorder of muscle, ligament, and fascia",7289,unspecified disorder of muscle ligament and fascia,7
1785,Candidiasis of lung,1124,candidiasis of lung,1
1786,Dyskinesia of esophagus,5305,dyskinesia of esophagus,1
1787,Diaphragmatic hernia with obstruction,5523,diaphragmatic hernia with obstruction,4
1788,"Open wound of upper arm, without mention of complication",88003,open wound of upper arm without mention of complication,0
1789,"Acute peptic ulcer of unspecified site with hemorrhage, without mention of obstruction",53300,acute peptic ulcer of unspecified site with hemorrhage without mention of obstruction,4
1790,"Diabetes with ketoacidosis, type I [juvenile type], not stated as uncontrolled",25011,diabetes with ketoacidosis type i juvenile type not stated as uncontrolled,6
1791,"Malignant neoplasm of cervix uteri, unspecified site",1809,malignant neoplasm of cervix uteri unspecified site,2
1792,"Threatened premature labor, antepartum condition or complication",64403,threatened premature labor antepartum condition or complication,1
1793,"Abnormal glucose tolerance of mother, antepartum condition or complication",64883,abnormal glucose tolerance of mother antepartum condition or complication,1
1794,Other obstruction of duodenum,5373,other obstruction of duodenum,4
1795,Calcaneal spur,72673,calcaneal spur,1
1796,"Closed dislocation of shoulder, unspecified",83100,closed dislocation of shoulder unspecified,10
1797,Other extrapyramidal diseases and abnormal movement disorders,33399,other extrapyramidal diseases and abnormal movement disorders,1
1798,Hematometra,6214,hematometra,1
1799,Benign neoplasm of major salivary glands,2102,benign neoplasm of major salivary glands,2
1800,Nocturia,78843,nocturia,1
1801,Toxic epidermal necrolysis,69515,toxic epidermal necrolysis,1
1802,"Subendocardial infarction, subsequent episode of care",41072,subendocardial infarction subsequent episode of care,1
1803,Malignant neoplasm of anterior portion of floor of mouth,1440,malignant neoplasm of anterior portion of floor of mouth,2
1804,"Unqualified visual loss, one eye",3698,unqualified visual loss one eye,1
1805,"Cerebellar or brain stem contusion without mention of open intracranial wound, with no loss of consciousness",85141,cerebellar or brain stem contusion without mention of open intracranial wound with no loss of consciousness,0
